"","X","Forest","site","richness","sw_diversity","evenness","avg","sd","sw_div_h","richness_h","evenness_h","evenness_h_log","sd_log","log_1_SD","sd_0_1","logit_sd_0_1","harvest_total_mean","harvest_total_sd","harvest_total_cv","n","prop_days_below_threshold","synchrony_loreau","synchrony_gross","synchrony_loreau_habitat","synchrony_gross_habitat"
"1",1,"Chugach","Chenega_1984",37,2.22644117407252,0.616585928546387,0.25,0.228269230066153,1.03767373918717,4,0.748523378793022,-0.289652841417816,-1.47722951303989,1.47722951303989,0.543461539867694,0.174285993742303,0.485393544652877,0.218187258460619,0.449505892412831,50,13.6986301369863,0.106899294750744,-0.0123223141589265,0.175466568564153,-0.380952256720881
"2",2,"Chugach","Chenega_1985",37,2.50019801340047,0.692399570936137,0.25,0.210916457968236,1.07825715125222,4,0.777798122457316,-0.251288271177885,-1.55629315770838,1.55629315770838,0.578167084063528,0.315253597839461,0.552938419421164,0.243724937528076,0.440781340141305,53,14.5205479452055,0.0927451286815331,0.0433878158817852,0.192390737846959,-0.317876356037193
"3",3,"Chugach","Chenega_1989",19,2.02730781206485,0.68852091227198,0.25,0.268584641816534,0.923900366487084,4,0.666453238503206,-0.405785301609823,-1.3145891751706,1.3145891751706,0.462830716366932,-0.148951920539338,0.186544522358082,0.264566170154028,1.41824679068399,294,80.5479452054795,0.40536173509733,0.292926207731726,0.63262621051038,0.143754031887833
"4",4,"Chugach","Chenega_1990",27,2.33456663251371,0.708338042029365,0.25,0.171475059682042,1.11499518737764,4,0.804299013722392,-0.217784171328751,-1.76331744754583,1.76331744754583,0.657049880635917,0.650174925426715,0.189033066798973,0.124230485257038,0.657189175210025,280,76.7123287671233,0.153818734062796,0.101324024583182,0.32487393943998,-0.23715952915818
"5",5,"Chugach","Chenega_1991",34,2.68647414342139,0.761826286526334,0.25,0.184621121948308,1.14184423158197,4,0.823666505185487,-0.19398955771327,-1.68944954337052,1.68944954337052,0.630757756103385,0.535468967910366,0.444042075853562,0.456294552185618,1.02759305254689,176,48.2191780821918,0.292852413831309,0.264684809879445,0.534850932142528,0.242935266952238
"6",6,"Chugach","Chenega_1992",39,2.58772434817993,0.706341150534132,0.25,0.161793699696839,1.21564951359429,4,0.876905762360783,-0.131355746932316,-1.82143321394877,1.82143321394877,0.676412600606322,0.73733400018474,0.533182296949726,0.575873477542996,1.08006863850788,159,43.5616438356164,0.270217514003875,0.194566442061528,0.455027377226448,0.180560576830619
"7",7,"Chugach","Chenega_1993",36,2.6181092822547,0.730597305949403,0.25,0.227418687073562,1.01152533930499,4,0.729661295374419,-0.315174831450386,-1.48096252393756,1.48096252393756,0.545162625852876,0.181144210607796,0.361339138254931,0.369234547217115,1.02185041177746,249,68.2191780821918,0.332025906874673,0.283915729370749,0.697589570597997,0.243596064638403
"8",8,"Chugach","Chenega_1997",46,2.76375111317902,0.721862098579775,0.25,0.149973775757954,1.23296803015758,4,0.889398431341487,-0.11720996463378,-1.89729482845043,1.89729482845043,0.700052448484091,0.847547627550756,0.712053030582466,0.717576064244479,1.00775649203753,139,38.0821917808219,0.246137074743479,0.243085053361355,0.390946138255065,0.20450855025808
"9",9,"Chugach","Chenega_2003",45,2.60112056376683,0.68330737772441,0.25,0.203920401299229,1.1036574814896,4,0.796120587692524,-0.228004612535485,-1.5900255509914,1.5900255509914,0.592159197401543,0.372898604711921,0.603500147896845,0.575887361424943,0.954245601151664,128,35.0684931506849,0.25947679685748,0.23368135871749,0.522774178827064,0.10415417388049
"10",10,"Chugach","Chenega_2014",29,2.54079268785219,0.754549886952579,0.25,0.188295518670855,1.15752273478722,4,0.834976154596876,-0.180352111908062,-1.66974264248244,1.66974264248244,0.623408962658289,0.504042927228782,0.312121648526198,0.420486357639765,1.34718741755098,255,69.8630136986301,0.359341062323868,0.35726154464269,0.5660807501127,0.190258977719303
